entity,entity_type,occurrence
COVID-19,DISEASE,184360:Pathophysiology Of Covid-19: Pulmonar And Cardiovascular Complications ::: Introduction:14
SARS-CoV,ORGANISM,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:15
SARS-CoV-2,ORGANISM,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:15
human,ORGANISM,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:15
human cells,CELL_TYPE,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:15
ACE2,PROTEIN,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:15
ACE2,PROTEIN,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:15
receptor binding domain,PROTEIN,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:15
RBD,DISEASE,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:15
viral,ORGANISM,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:15
viral spike protein,PROTEIN,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:15
serine protease TMPRSS2,PROTEIN,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:15
fusion,PATHWAY,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:15
viral,ORGANISM,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:15
cellular membranes,CELL_COMPARTMENT,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:15
ACE2,PROTEIN,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:15
lung,ORGAN,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:15
alveolar epithelial cells,CELL_TYPE,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:15
lung endothelial cells,CELL_TYPE,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:15
lung,ORGAN,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:15
lung,ORGAN,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:16
SARS-CoV,ORGANISM,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:16
pneumocytes,CELL_TYPE,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:16
macrophages,CELL_TYPE,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:16
lung,ORGAN,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:16
endothelium,ORGAN,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:16
coronavirus infection,DISEASE,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:16
coronavirus,ORGANISM,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:16
viral infection,DISEASE,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:16
viral,ORGANISM,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:16
respiratory tract,ORGAN,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:16
peptidases,PROTEIN,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:16
coronaviruses,ORGANISM,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:16
host cells,CELL_TYPE,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:16
SARS-CoV-2,ORGANISM,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:16
host cells,CELL_TYPE,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:16
human,ORGANISM,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:17
human cells,CELL_TYPE,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:17
sialic acid,CHEMICAL,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:17
sialic acid receptors,PROTEIN,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:17
C-type lectin receptor CD209/DC-SIGN,PROTEIN,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:17
macrophages,CELL_TYPE,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:17
dendritic cells,CELL_TYPE,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:17
SARS-CoV,ORGANISM,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:17
immune cells,CELL_TYPE,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:17
transmembrane glycoprotein CD147/basigin,PROTEIN,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:17
transmembrane,CELL_COMPARTMENT,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:17
SARS-CoV,ORGANISM,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:17
CD147,PROTEIN,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:17
SARS-CoV-2 RBD,PROTEIN,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:17
RBD,DISEASE,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:17
anti-CD147,PROTEIN,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:17
MERS-CoV,ORGANISM,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:18
human,ORGANISM,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:18
host cells,CELL_TYPE,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:18
SARS-CoV-2,ORGANISM,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:18
SARS-CoV-2 spike glycoprotein,PROTEIN,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:18
SARS-CoV-2,ORGANISM,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:18
DPP4,PROTEIN,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:18
ACE2,PROTEIN,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:18
SARS-CoV-2 glycoprotein,PROTEIN,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:18
ACE2,PROTEIN,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:18
DPP4,PROTEIN,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:18
MERS-CoV,ORGANISM,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:19
DPP4,PROTEIN,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:19
mouse,ORGANISM,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:19
human,ORGANISM,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:19
human DPP4,PROTEIN,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:19
epithelial and alveolar pulmonary cells,CELL_TYPE,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:19
epithelial,ORGAN,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:19
alveolar pulmonary,ORGAN,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:19
diabetes,DISEASE,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:19
MERS-CoV infection,DISEASE,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:19
MERS-CoV,ORGANISM,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:19
MERS-CoV-infected diabetic,DISEASE,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:19
mice,ORGANISM,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:19
DPP4,PROTEIN,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:19
DPP4,PROTEIN,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:19
diabetes,DISEASE,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:19
COVID-19,DISEASE,184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:19
Ang II,PROTEIN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:20
RAAS,PROTEIN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:20
vascular,ORGAN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:20
pro-inflammatory,PROTEIN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:20
AT1 receptors,PROTEIN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:20
ACE2,PROTEIN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:20
RAAS,PROTEIN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:20
Ang II,PROTEIN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:20
angiotensin-converting enzyme,PROTEIN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:20
ACE,PROTEIN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:20
vascular,ORGAN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:20
vasodilator,DRUG,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:20
anti-inflammatory,PROTEIN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:20
anti-oxidant,PROTEIN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:20
Mas receptors,PROTEIN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:20
arterial hypertension,DISEASE,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:21
arterial,ORGAN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:21
diabetes,DISEASE,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:21
Ang II,PROTEIN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:21
hyperglycaemia,DISEASE,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:21
dyslipidaemia,DISEASE,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:21
vascular,ORGAN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:21
inflammation,DISEASE,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:21
ACE2,PROTEIN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:21
vascular inflammation,DISEASE,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:21
vascular,ORGAN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:21
atherosclerosis,DISEASE,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:21
ApoE,PROTEIN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:21
mice,ORGANISM,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:21
ACE2-Ang-(1,PROTEIN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:21
obesity-induced inflammation,DISEASE,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:21
chronic renal failure,DISEASE,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:21
renal,ORGAN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:21
interleukin (IL)-1β,PROTEIN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:21
SARS-CoV,ORGANISM,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:22
SARS-CoV spike glycoprotein,PROTEIN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:22
mice,ORGANISM,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:22
ACE2,PROTEIN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:22
lung injury,DISEASE,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:22
lung,ORGAN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:22
ACE2,PROTEIN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:22
internalization,PATHWAY,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:22
Ang II,PROTEIN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:22
ACE2,PROTEIN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:22
pro-inflammatory cytokines,PROTEIN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:22
ACE2,PROTEIN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:22
entry receptor,PROTEIN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:22
protective mediator,PATHWAY,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:22
lung,ORGAN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:22
ACE2,PROTEIN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:22
human idiopathic pulmonary fibrosis,DISEASE,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:22
human,ORGANISM,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:22
pulmonary,ORGAN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:22
ACE2,PROTEIN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:22
endothelium,ORGAN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:22
heart,ORGAN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:22
ACE2,PROTEIN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:22
RAAS,PROTEIN,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:22
COVID-19,DISEASE,184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:22
serine protease,PROTEIN,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:23
incretin hormones glucagon-like peptide 1,PROTEIN,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:23
GLP-1,PROTEIN,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:23
gastric,ORGAN,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:23
GIP,PROTEIN,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:23
cytokines,PROTEIN,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:23
growth factors,PROTEIN,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:23
DPP4,PROTEIN,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:23
membrane-bound form,PROTEIN,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:23
T2DM-related,DISEASE,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:23
COVID-19,DISEASE,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:23
obesity,DISEASE,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:24
T2DM,DISEASE,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:24
AT,ORGAN,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:24
liver,ORGAN,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:24
humans,ORGANISM,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:24
adipose-derived factor,PROTEIN,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:24
liver,ORGAN,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:24
apoptosis,PATHWAY,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:24
fibrosis,DISEASE,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:24
NAFLD,DISEASE,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:24
DPP4,PROTEIN,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:25
DPP4,PROTEIN,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:25
T cell,CELL_TYPE,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:25
proliferation,PATHWAY,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:25
cytokine,PROTEIN,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:25
antigen presenting cells,CELL_TYPE,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:25
CD45,PROTEIN,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:25
caveolin-1,PROTEIN,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:25
manose-6 phosphate,CHEMICAL,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:25
manose-6 phosphate receptor,PROTEIN,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:25
adenosine,CHEMICAL,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:25
adenosine deaminase,PROTEIN,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:25
adenosine,DRUG,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:25
ADA,PROTEIN,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:25
DPP4,PROTEIN,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:25
blood T lymphocytes,CELL_TYPE,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:25
blood,ORGAN,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:25
insulin resistance,PATHWAY,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:25
glycated hemoglobin,CHEMICAL,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:25
tumor,DISEASE,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:25
tumor necrosis factor,PROTEIN,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:25
IL-6,PROTEIN,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:25
secretion,PATHWAY,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:25
activated monocytes,CELL_TYPE,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:25
T2DM,DISEASE,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:25
obesity,DISEASE,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:25
DPP4,PROTEIN,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:25
senescent cells,CELL_TYPE,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:25
DPP4,PROTEIN,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:26
animal,ORGANISM,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:26
monocyte,CELL_TYPE,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:26
low-density-lipoprotein,CHEMICAL,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:26
mice,ORGANISM,184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:26
