entity,aggregated_entities,raw_entity_types,paragraph,paper,section,uid,definition,semantic_type,taxonomy,paper_frequency,entity_type,entity_type_label
saxagliptin,"['saxagliptin', 'saxagliptin']","['DRUG', 'DRUG', 'DRUG', 'PROTEIN', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'PROTEIN', 'DRUG', 'DRUG']","{'184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:49', '184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:48', '184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:50', '184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:47', '179426:Role Of Dpp4 Enzyme And Dpp4 Inhibitors ::: Special Aspects Of Pathophysiology Of Diabetes And Relationship Of Anti-Diabetic Drugs In The Context Of Covid-19:13'}","{'179426', '184360'}","{'179426:Role Of Dpp4 Enzyme And Dpp4 Inhibitors ', '184360:Gliptins '}",http://purl.obolibrary.org/obo/NCIT_C75983,"A potent, selective and competitive, cyanopyrrolidine-based, orally bioavailable inhibitor of dipeptidyl peptidase 4 (DPP-4), with hypoglycemic activity. Saxagliptin is metabolized into an, although less potent, active mono-hydroxy metabolite.",Pharmacologic Substance,"[('http://purl.obolibrary.org/obo/NCIT_C98086', 'Dipeptidyl Peptidase-4 Inhibitor'), ('http://purl.obolibrary.org/obo/NCIT_C29711', 'Anti-diabetic Agent'), ('http://purl.obolibrary.org/obo/NCIT_C78276', 'Agent Affecting Digestive System or Metabolism'), ('http://purl.obolibrary.org/obo/NCIT_C1909', 'Pharmacologic Substance'), ('http://purl.obolibrary.org/obo/NCIT_C1908', 'Drug, Food, Chemical or Biomedical Material'), ('http://www.w3.org/2002/07/owl#Thing', ''), ('http://purl.obolibrary.org/obo/NCIT_C783', 'Protease Inhibitor'), ('http://purl.obolibrary.org/obo/NCIT_C471', 'Enzyme Inhibitor')]",2,DRUG,DRUG
septicemia,"['sepsis', 'sepsis', 'sepsis', 'sepsis', 'sepsis']","['DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE']","{'179426:Role Of Statins, Calcium Channel Blockers And Aspirin ::: Special Aspects Of Management Of Diabetes With Covid-19:23', '184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:44'}","{'179426', '184360'}","{'184360:Gliptins ', '179426:Role Of Statins, Calcium Channel Blockers And Aspirin '}",http://purl.obolibrary.org/obo/NCIT_C3364,"The presence of pathogenic microorganisms in the blood stream causing a rapidly progressing systemic reaction that may lead to shock. Symptoms include fever, chills, tachycardia, and increased respiratory rate. It is a medical emergency that requires urgent medical attention.",Disease or Syndrome,"[('http://purl.obolibrary.org/obo/NCIT_C27583', 'Infectious Disorder by Site'), ('http://purl.obolibrary.org/obo/NCIT_C26726', 'Infectious Disorder'), ('http://purl.obolibrary.org/obo/NCIT_C93210', 'Inflammatory Disorder'), ('http://purl.obolibrary.org/obo/NCIT_C53547', 'Non-Neoplastic Disorder by Special Category'), ('http://purl.obolibrary.org/obo/NCIT_C53529', 'Non-Neoplastic Disorder'), ('http://purl.obolibrary.org/obo/NCIT_C2991', 'Disease or Disorder'), ('http://purl.obolibrary.org/obo/NCIT_C7057', 'Disease, Disorder or Finding'), ('http://www.w3.org/2002/07/owl#Thing', '')]",2,DISEASE,DISEASE
serum,['serum'],"['ORGAN', 'ORGAN']","{'214924:Diabetes Mellitus And Covid-19: In The Eye Of The “Cytokine Storm” ::: Elucidating The Crosstalk Between Covid-19 And Diabetes Mellitus:20', '114119:Abstract:1'}","{'214924', '114119'}","{'214924:Diabetes Mellitus And Covid-19', '114119:Abstract'}",http://purl.obolibrary.org/obo/NCIT_C13325,The clear portion of the blood that remains after the removal of the blood cells and the clotting proteins.,Body Substance,"[('http://purl.obolibrary.org/obo/NCIT_C13236', 'Body Fluid or Substance'), ('http://purl.obolibrary.org/obo/NCIT_C12219', 'Anatomic Structure, System, or Substance'), ('http://www.w3.org/2002/07/owl#Thing', '')]",2,ORGAN,ORGAN
serum ferritin,['serum ferritin'],"['PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN']","{'211125:Data Collection:11', '99569:Abstract:1', '211125:Discussion:23', '114119:Abstract:1', '211125:Abstract:1'}","{'211125', '99569', '114119'}","{'99569:Abstract', '114119:Abstract', '211125:Abstract', '211125:Data Collection', '211125:Discussion'}",,,,,3,PROTEIN,PROTEIN
severe acute respiratory syndrome,"['acute respiratory syndrome', 'acute respiratory syndrome', 'acute respiratory syndrome', 'acute respiratory syndrome', 'acute respiratory syndrome', 'acute respiratory syndrome']","['DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE']","{'179426:Morbidity And Mortality In Diabetic Cohorts With Covid-19:8', '211373:Introduction:3', '184360:Abstract:1'}","{'179426', '184360', '211373'}","{'211373:Introduction', '184360:Abstract', '179426:Morbidity And Mortality In Diabetic Cohorts With Covid-19'}",http://purl.obolibrary.org/obo/NCIT_C85064,"A viral respiratory infection caused by the SARS coronavirus. It is transmitted through close person-to-person contact. It is manifested with high fever, headache, dry cough and myalgias. It may progress to pneumonia and cause death.",Disease or Syndrome,"[('http://purl.obolibrary.org/obo/NCIT_C3439', 'Viral Infection'), ('http://purl.obolibrary.org/obo/NCIT_C26726', 'Infectious Disorder'), ('http://purl.obolibrary.org/obo/NCIT_C93210', 'Inflammatory Disorder'), ('http://purl.obolibrary.org/obo/NCIT_C53547', 'Non-Neoplastic Disorder by Special Category'), ('http://purl.obolibrary.org/obo/NCIT_C53529', 'Non-Neoplastic Disorder'), ('http://purl.obolibrary.org/obo/NCIT_C2991', 'Disease or Disorder'), ('http://purl.obolibrary.org/obo/NCIT_C7057', 'Disease, Disorder or Finding'), ('http://www.w3.org/2002/07/owl#Thing', '')]",3,DISEASE,DISEASE
shortness of breath visual analogue scale,"['shortness', 'shortness']","['DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE']","{'197804:Discussion:46', '197804:Introduction:2', '211125:General Characteristics Of Patients With Covid-19:17', '179426:Measures For Good Health In Patients With Diabetes ::: Treatment Of Diabetes In Times Of Covid-19 Pandemic:24'}","{'179426', '211125', '197804'}","{'197804:Discussion', '197804:Introduction', '179426:Measures For Good Health In Patients With Diabetes ', '211125:General Characteristics Of Patients With Covid-19'}",http://purl.obolibrary.org/obo/NCIT_C141583,A shortness of breath scale from 0 to 10 on which the patient marks the current level of shortness of breath experienced.,Intellectual Product,"[('http://purl.obolibrary.org/obo/NCIT_C20993', 'Research or Clinical Assessment Tool'), ('http://purl.obolibrary.org/obo/NCIT_C18742', 'Diagnostic or Prognostic Test'), ('http://purl.obolibrary.org/obo/NCIT_C18020', 'Diagnostic Procedure'), ('http://purl.obolibrary.org/obo/NCIT_C25218', 'Intervention or Procedure'), ('http://purl.obolibrary.org/obo/NCIT_C16203', 'Clinical or Research Activity'), ('http://purl.obolibrary.org/obo/NCIT_C43431', 'Activity'), ('http://www.w3.org/2002/07/owl#Thing', '')]",3,DISEASE,DISEASE
sitagliptin,"['sitagliptin', 'sitagliptin', 'sitagliptin']","['DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'CHEMICAL', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'CHEMICAL', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'CHEMICAL', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG']","{'184360:Combined Therapeutic Potential Targeting Raas And Dpp4:57', '184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:42', '184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:45', '179426:Role Of Dpp4 Enzyme And Dpp4 Inhibitors ::: Special Aspects Of Pathophysiology Of Diabetes And Relationship Of Anti-Diabetic Drugs In The Context Of Covid-19:15', '184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:51', '184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:49', '184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:48', '211373:Introduction:4', '184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:44', '184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:50', '184360:Conclusion:63', '184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:47', '179426:Role Of Dpp4 Enzyme And Dpp4 Inhibitors ::: Special Aspects Of Pathophysiology Of Diabetes And Relationship Of Anti-Diabetic Drugs In The Context Of Covid-19:13'}","{'179426', '184360', '211373'}","{'211373:Introduction', '184360:Gliptins ', '184360:Combined Therapeutic Potential Targeting Raas And Dpp4', '179426:Role Of Dpp4 Enzyme And Dpp4 Inhibitors ', '184360:Conclusion'}",http://purl.obolibrary.org/obo/NCIT_C73838,"An orally available, competitive, beta-amino acid-derived inhibitor of dipeptidyl peptidase 4 (DDP-4) with hypoglycemic activity. Sitagliptin may cause an increased risk in the development of pancreatitis.",Pharmacologic Substance,"[('http://purl.obolibrary.org/obo/NCIT_C98086', 'Dipeptidyl Peptidase-4 Inhibitor'), ('http://purl.obolibrary.org/obo/NCIT_C29711', 'Anti-diabetic Agent'), ('http://purl.obolibrary.org/obo/NCIT_C78276', 'Agent Affecting Digestive System or Metabolism'), ('http://purl.obolibrary.org/obo/NCIT_C1909', 'Pharmacologic Substance'), ('http://purl.obolibrary.org/obo/NCIT_C1908', 'Drug, Food, Chemical or Biomedical Material'), ('http://www.w3.org/2002/07/owl#Thing', ''), ('http://purl.obolibrary.org/obo/NCIT_C783', 'Protease Inhibitor'), ('http://purl.obolibrary.org/obo/NCIT_C471', 'Enzyme Inhibitor')]",3,DRUG,DRUG
sulfonylurea antidiabetic agent,"['sulfonylureas', 'sulfonylureas']","['DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG']","{'179426:Role Of Antidiabetic Drugs In Current Context ::: Special Aspects Of Pathophysiology Of Diabetes And Relationship Of Anti-Diabetic Drugs In The Context Of Covid-19:12', '179426:Glycemic Control ::: Special Aspects Of Management Of Diabetes With Covid-19:17', '184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:41'}","{'179426', '184360'}","{'184360:Gliptins ', '179426:Role Of Antidiabetic Drugs In Current Context ', '179426:Glycemic Control '}",http://purl.obolibrary.org/obo/NCIT_C97936,"Sulfonamide urea derivatives with antihyperglycemic activity. Sulphonylurea antidiabetic agents bind to sulfonylurea receptor type 1 (SUR1), the subunit of ATP-sensitive inwardly-rectifier potassium (IKATP) channels on the membranes of pancreatic beta cells, thereby blocking the inward current flow (influx) of positively charged K+ ions into the cell. This results in tonic membrane depolarization, and induces a calcium ion influx through voltage-sensitive calcium channels; increased intracellular calcium ion levels trigger exocytosis of insulin-containing granules. This eventually induces secretion of insulin. The IKATP channels found in pancreatic islets are complexes of four IKATP 6.2 and four SUR1 subunits. In addition, some sulfonylureas of larger molecular size may increase the sensitivity of peripheral tissues to insulin mediated through peroxisome proliferator-activated receptor gamma (PPARgamma).",Chemical Viewed Functionally,"[('http://purl.obolibrary.org/obo/NCIT_C29711', 'Anti-diabetic Agent'), ('http://purl.obolibrary.org/obo/NCIT_C78276', 'Agent Affecting Digestive System or Metabolism'), ('http://purl.obolibrary.org/obo/NCIT_C1909', 'Pharmacologic Substance'), ('http://purl.obolibrary.org/obo/NCIT_C1908', 'Drug, Food, Chemical or Biomedical Material'), ('http://www.w3.org/2002/07/owl#Thing', '')]",2,DRUG,DRUG
survival,"['survival', 'survival']","['PATHWAY', 'PATHWAY', 'PATHWAY', 'PATHWAY', 'PATHWAY', 'PATHWAY', 'PATHWAY', 'PATHWAY', 'PATHWAY', 'PATHWAY']","{'179426:Role Of Antidiabetic Drugs In Current Context ::: Special Aspects Of Pathophysiology Of Diabetes And Relationship Of Anti-Diabetic Drugs In The Context Of Covid-19:12', '184360:Pathophysiology Of Covid-19: Pulmonar And Cardiovascular Complications ::: Introduction:6', '211125:Statistical Analysis:15', '184360:Pathophysiology Of Covid-19: Pulmonar And Cardiovascular Complications ::: Introduction:13', '214924:The Interplay Between Covid-19 And Ampk/Mtor Signaling Pathway In Diabetes Mellitus ::: Elucidating The Crosstalk Between Covid-19 And Diabetes Mellitus:22'}","{'179426', '184360', '211125', '214924'}","{'211125:Statistical Analysis', '214924:The Interplay Between Covid-19 And Ampk/Mtor Signaling Pathway In Diabetes Mellitus ', '179426:Role Of Antidiabetic Drugs In Current Context ', '184360:Pathophysiology Of Covid-19'}",http://purl.obolibrary.org/obo/NCIT_C17177,Continuance of life or existence especially under adverse conditions; includes methods and philosophy of survival.,Conceptual Entity,"[('http://purl.obolibrary.org/obo/NCIT_C53344', 'Population-Based Statistic'), ('http://purl.obolibrary.org/obo/NCIT_C83503', 'Statistic'), ('http://purl.obolibrary.org/obo/NCIT_C25474', 'Data'), ('http://purl.obolibrary.org/obo/NCIT_C48191', 'Information'), ('http://purl.obolibrary.org/obo/NCIT_C20181', 'Conceptual Entity'), ('http://www.w3.org/2002/07/owl#Thing', '')]",4,PATHWAY,PATHWAY
t-lymphocyte,"['t cell', 't cell', 't-cell', 't-cell']","['CELL_TYPE', 'CELL_TYPE', 'CELL_TYPE', 'CELL_TYPE', 'CELL_TYPE', 'CELL_TYPE', 'CELL_TYPE', 'CELL_TYPE', 'CELL_TYPE', 'CELL_TYPE']","{'184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:51', '211373:Introduction:4', '184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:25', '184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:50', '179426:Role Of Dpp4 Enzyme And Dpp4 Inhibitors ::: Special Aspects Of Pathophysiology Of Diabetes And Relationship Of Anti-Diabetic Drugs In The Context Of Covid-19:13'}","{'179426', '184360', '211373'}","{'179426:Role Of Dpp4 Enzyme And Dpp4 Inhibitors ', '184360:Gliptins ', '184360:Cardiovascular Effects Of Sdpp4 Upregulation ', '211373:Introduction'}",http://purl.obolibrary.org/obo/NCIT_C12476,"A thymocyte-derived lymphocyte of immunological importance that is long-lived (months to years) and is responsible for cell-mediated immunity. T lymphocyte cells form rosettes with sheep erythrocytes and, in the presence of transforming agents (mitogens), differentiate and divide. These cells have the characteristic T3 surface marker and may be further divided into subsets according to function, such as helper, cytotoxic, etc.",Cell,"[('http://purl.obolibrary.org/obo/NCIT_C39567', 'T-Lymphocyte and Natural Killer Cell'), ('http://purl.obolibrary.org/obo/NCIT_C12535', 'Lymphocyte'), ('http://purl.obolibrary.org/obo/NCIT_C32725', 'Hematopoietic and Lymphoid Cell'), ('http://purl.obolibrary.org/obo/NCIT_C12508', 'Cell'), ('http://purl.obolibrary.org/obo/NCIT_C21599', 'Microanatomic Structure'), ('http://purl.obolibrary.org/obo/NCIT_C12219', 'Anatomic Structure, System, or Substance'), ('http://www.w3.org/2002/07/owl#Thing', '')]",3,CELL_TYPE,CELL_TYPE
therapeutic corticosteroid,"['corticosteroids', 'corticosteroids']","['CHEMICAL', 'DRUG', 'CHEMICAL', 'DRUG', 'CHEMICAL', 'DRUG', 'CHEMICAL', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'CHEMICAL', 'DRUG', 'CHEMICAL', 'DRUG', 'CHEMICAL', 'DRUG', 'CHEMICAL', 'DRUG', 'DRUG', 'DRUG', 'DRUG']","{'211125:Discussion:27', '211125:Caption:31', '214924:The Interplay Between Covid-19 And Ampk/Mtor Signaling Pathway In Diabetes Mellitus ::: Elucidating The Crosstalk Between Covid-19 And Diabetes Mellitus:25'}","{'214924', '211125'}","{'211125:Caption', '211125:Discussion', '214924:The Interplay Between Covid-19 And Ampk/Mtor Signaling Pathway In Diabetes Mellitus '}",http://purl.obolibrary.org/obo/NCIT_C211,,Pharmacologic Substance,"[('http://purl.obolibrary.org/obo/NCIT_C2364', 'Adrenal Agent'), ('http://purl.obolibrary.org/obo/NCIT_C1636', 'Therapeutic Steroid Hormone'), ('http://purl.obolibrary.org/obo/NCIT_C548', 'Therapeutic Hormone'), ('http://purl.obolibrary.org/obo/NCIT_C147908', 'Hormone Therapy Agent'), ('http://purl.obolibrary.org/obo/NCIT_C1909', 'Pharmacologic Substance'), ('http://purl.obolibrary.org/obo/NCIT_C1908', 'Drug, Food, Chemical or Biomedical Material'), ('http://www.w3.org/2002/07/owl#Thing', ''), ('http://purl.obolibrary.org/obo/NCIT_C574', 'Immunosuppressant'), ('http://purl.obolibrary.org/obo/NCIT_C308', 'Immunotherapeutic Agent')]",2,DRUG,DRUG
thrombophilia,['hypercoagulable'],"['DISEASE', 'DISEASE', 'DISEASE']","{'214924:Diabetes Mellitus: A Risk Factor For The Progression Of Covid-19:13', '197804:Discussion:41', '114119:Abstract:1'}","{'214924', '197804', '114119'}","{'197804:Discussion', '214924:Diabetes Mellitus', '114119:Abstract'}",http://purl.obolibrary.org/obo/NCIT_C84479,"A condition characterized by an abnormally high level of thrombi. Causes include thrombotic thrombocytopenic purpura, disseminated intravascular coagulation, bone marrow disorders, and antiphospholipid antibody syndrome.",Disease or Syndrome,"[('http://purl.obolibrary.org/obo/NCIT_C2902', 'Coagulation Disorder'), ('http://purl.obolibrary.org/obo/NCIT_C26324', 'Non-Neoplastic Hematologic and Lymphocytic Disorder'), ('http://purl.obolibrary.org/obo/NCIT_C53531', 'Non-Neoplastic Disorder by Site'), ('http://purl.obolibrary.org/obo/NCIT_C53529', 'Non-Neoplastic Disorder'), ('http://purl.obolibrary.org/obo/NCIT_C2991', 'Disease or Disorder'), ('http://purl.obolibrary.org/obo/NCIT_C7057', 'Disease, Disorder or Finding'), ('http://www.w3.org/2002/07/owl#Thing', ''), ('http://purl.obolibrary.org/obo/NCIT_C26323', 'Hematologic and Lymphocytic Disorder'), ('http://purl.obolibrary.org/obo/NCIT_C35814', 'Hematopoietic and Lymphoid System Disorder'), ('http://purl.obolibrary.org/obo/NCIT_C27551', 'Disorder by Site')]",3,DISEASE,DISEASE
tissue,"['tissue', 'tissue']","['ORGAN', 'ORGAN', 'ORGAN', 'ORGAN', 'ORGAN', 'ORGAN']","{'214924:Diabetes Mellitus: A Risk Factor For The Progression Of Covid-19:13', '184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:28', '114119:Abstract:1'}","{'184360', '214924', '114119'}","{'214924:Diabetes Mellitus', '184360:Cardiovascular Effects Of Sdpp4 Upregulation ', '114119:Abstract'}",http://purl.obolibrary.org/obo/NCIT_C12801,"An anatomical structure consisting of similarly specialized cells and intercellular matrix, aggregated according to genetically determined spatial relationships, performing a specific function.",Tissue,"[('http://purl.obolibrary.org/obo/NCIT_C12219', 'Anatomic Structure, System, or Substance'), ('http://www.w3.org/2002/07/owl#Thing', '')]",3,ORGAN,ORGAN
transmembrane protein,"['transmembrane', 'transmembrane', 'transmembrane']","['CELL_COMPARTMENT', 'CELL_COMPARTMENT', 'CELL_COMPARTMENT', 'CELL_COMPARTMENT', 'CELL_COMPARTMENT', 'CELL_COMPARTMENT']","{'184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells:17', '179426:Role Of Dpp4 Enzyme And Dpp4 Inhibitors ::: Special Aspects Of Pathophysiology Of Diabetes And Relationship Of Anti-Diabetic Drugs In The Context Of Covid-19:13'}","{'179426', '184360'}","{'184360:Mechanisms Of Sars-Cov-2 Entry Into Host Cells', '179426:Role Of Dpp4 Enzyme And Dpp4 Inhibitors '}",http://purl.obolibrary.org/obo/NCIT_C16747,A protein that is an integral membrane protein with a transmembrane region.,"Amino Acid, Peptide, or Protein","[('http://purl.obolibrary.org/obo/NCIT_C16837', 'Membrane Protein'), ('http://purl.obolibrary.org/obo/NCIT_C20030', 'Protein, Organized by Location'), ('http://purl.obolibrary.org/obo/NCIT_C17021', 'Protein'), ('http://purl.obolibrary.org/obo/NCIT_C26548', 'Gene Product'), ('http://www.w3.org/2002/07/owl#Thing', '')]",2,PROTEIN,PROTEIN
"troponin t, cardiac muscle","['cardiac troponin', 'cardiac troponin', 'cardiac troponin', 'cardiac troponin']","['PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN']","{'99569:Abstract:1', '211125:Abstract:1'}","{'211125', '99569'}","{'99569:Abstract', '211125:Abstract'}",http://purl.obolibrary.org/obo/NCIT_C104220,"Troponin T, cardiac muscle (298 aa, ~36 kDa) is encoded by the human TNNT2 gene. This protein plays a role in cardiac muscle contraction.","Amino Acid, Peptide, or Protein","[('http://purl.obolibrary.org/obo/NCIT_C38041', 'Troponin T'), ('http://purl.obolibrary.org/obo/NCIT_C16492', 'Cytoskeletal Protein'), ('http://purl.obolibrary.org/obo/NCIT_C18073', 'Structural Protein'), ('http://purl.obolibrary.org/obo/NCIT_C20027', 'Protein, Organized by Function'), ('http://purl.obolibrary.org/obo/NCIT_C17021', 'Protein'), ('http://purl.obolibrary.org/obo/NCIT_C26548', 'Gene Product'), ('http://www.w3.org/2002/07/owl#Thing', '')]",2,PROTEIN,PROTEIN
tumor necrosis factor,"['tnf-alpha', 'tnf-alpha', 'tnf-alpha', 'tnf-alpha', 'tnf-alpha', 'tnf-alpha', 'tnf-alpha', 'tnf-alpha', 'tnf-alpha', 'tnf-alpha', 'tnf-alpha']","['PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN']","{'184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:45', '211125:Data Collection:11', '214924:Diabetes Mellitus And Covid-19: In The Eye Of The “Cytokine Storm” ::: Elucidating The Crosstalk Between Covid-19 And Diabetes Mellitus:19', '214924:The Protective Role Of Angiotensin-Converting Enzyme 2 Against Lung Injury ::: Covid-19 Pathogenesis:11', '214924:The Immune Response To Sars-Cov-2 ::: Covid-19 Pathogenesis:9'}","{'184360', '211125', '214924'}","{'184360:Gliptins ', '214924:The Immune Response To Sars-Cov-2 ', '211125:Data Collection', '214924:The Protective Role Of Angiotensin-Converting Enzyme 2 Against Lung Injury ', '214924:Diabetes Mellitus And Covid-19'}",http://purl.obolibrary.org/obo/NCIT_C20535,"Tumor necrosis factor (233 aa, ~26 kDa) is encoded by the human TNF gene. This protein is involved in the induction of cytokine expression, the stimulation of cell proliferation and the positive regulation of cell differentiation.","Amino Acid, Peptide, or Protein","[('http://purl.obolibrary.org/obo/NCIT_C20500', 'Tumor Necrosis Factor Family Protein'), ('http://purl.obolibrary.org/obo/NCIT_C20464', 'Cytokine'), ('http://purl.obolibrary.org/obo/NCIT_C20027', 'Protein, Organized by Function'), ('http://purl.obolibrary.org/obo/NCIT_C17021', 'Protein'), ('http://purl.obolibrary.org/obo/NCIT_C26548', 'Gene Product'), ('http://www.w3.org/2002/07/owl#Thing', '')]",3,PROTEIN,PROTEIN
tzd,['tzd'],"['PROTEIN', 'PROTEIN', 'PROTEIN']","{'214924:Angiotensin-Converting Enzyme 2 Expression In Diabetes Mellitus And Its Role In Covid-19 Infectivity ::: Elucidating The Crosstalk Between Covid-19 And Diabetes Mellitus:16', '179426:Role Of Antidiabetic Drugs In Current Context ::: Special Aspects Of Pathophysiology Of Diabetes And Relationship Of Anti-Diabetic Drugs In The Context Of Covid-19:12'}","{'179426', '214924'}","{'214924:Angiotensin-Converting Enzyme 2 Expression In Diabetes Mellitus And Its Role In Covid-19 Infectivity ', '179426:Role Of Antidiabetic Drugs In Current Context '}",,,,,2,PROTEIN,PROTEIN
vaccine,"['vaccine', 'vaccine', 'vaccine']","['DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG']","{'184360:Caption:69', '184360:Anti-Dpp4 Vaccine ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:55', '184360:Conclusion:63', '214924:The Interplay Between Covid-19 And Ampk/Mtor Signaling Pathway In Diabetes Mellitus ::: Elucidating The Crosstalk Between Covid-19 And Diabetes Mellitus:24', '214924:The Interplay Between Covid-19 And Ampk/Mtor Signaling Pathway In Diabetes Mellitus ::: Elucidating The Crosstalk Between Covid-19 And Diabetes Mellitus:26'}","{'184360', '214924'}","{'184360:Anti-Dpp4 Vaccine ', '184360:Caption', '184360:Conclusion', '214924:The Interplay Between Covid-19 And Ampk/Mtor Signaling Pathway In Diabetes Mellitus '}",http://purl.obolibrary.org/obo/NCIT_C923,"Preparations containing substances with antigenic properties administered to activate the immune system, thereby inducing an immune response.",Classification,"[('http://purl.obolibrary.org/obo/NCIT_C307', 'Biological Agent'), ('http://purl.obolibrary.org/obo/NCIT_C1909', 'Pharmacologic Substance'), ('http://purl.obolibrary.org/obo/NCIT_C1908', 'Drug, Food, Chemical or Biomedical Material'), ('http://www.w3.org/2002/07/owl#Thing', ''), ('http://purl.obolibrary.org/obo/NCIT_C308', 'Immunotherapeutic Agent')]",2,DRUG,DRUG
